Bus,ZoneBus,Xcoord,Ycoord,Country,lat_known,lon_known,lat_pred,lon_pred
F-279,FR,122.76999664,190.00499725,F,,,44.0023721592847,0.952934100000352
F-29,FR,118.19999695,556.93501282,F,,,49.6406525594378,0.840957331307706
F-278,FR,274.85998535,191.2349968,F,,,43.9267108950211,3.81813297625617
F-277,FR,224.32000732,192.51750183,F,,,43.9776851357199,2.86678882001498
F-28,FR,373.69000244,557.78251648,F,,,49.3978600471305,6.25811815532474
F-276,FR,392.54998779,194.04000092,F,,,43.8958326243329,6.0400803912942
F-275,FR,322.07000732,197.03249359,F,,,43.9851789926126,4.71474422753697
F-27,FR,286.02999878,557.96250916,F,,,49.4883625345953,4.39962253518416
F-274,FR,345.36999512,200.54999542,F,,,44.0237502932522,5.1594731683259
F-273,FR,110.16999817,201.79499817,F,,,44.1913620444471,0.714217122055526
F-26,FR,88.23999786,558.26998901,F,,,49.6911681170197,0.205519229202464
F-272,FR,296.54998779,204.03749084,F,,,44.1074881224719,4.24057690901726
F-271,FR,397.85998535,205.01998901,F,,,44.0579709111894,6.15924140871063
F_Moulai,FR,354,558,F,49.4837972222,5.79285277778,49.4208616995005,5.84094133002892
F-270,FR,397.51998901,210.66000366,F,,,44.1431770577249,6.16256805524139
F-269,FR,390.04000854,215.73749542,F,,,44.2245299898554,6.02925781365654
F-24,FR,323.13000488,561.83248901,F,,,49.5098245697276,5.19114829659169
F-268,FR,211.11000061,218.04000092,F,,,44.375442763983,2.63130510077377
F-267,FR,324.36999512,219.61500549,F,,,44.3257442346491,4.78659328615626
F-23,FR,215.63999939,567.68998718,F,,,49.7072700438227,2.91246958242477
F-266,FR,86.25,221.63999176,F,,,44.5119367133737,0.25646391433066
F-265,FR,120.54000092,222.07500458,F,,,44.4962207661199,0.909159263669002
F-22,FR,126.70999908,567.68998718,F,,,49.7972234514207,1.0211812161142
F-264,FR,297.67001343,223.50750732,F,,,44.4021859186813,4.28293123675519
F-263,FR,43.29999924,225.66751099,F,,,44.6021573525412,-0.563331131510625
F-21,FR,236.77999878,568.56001282,F,,,49.6991420952291,3.36266122569077
F-262,FR,27.31999969,227.19749451,F,,,44.6363031343398,-0.868934726805967
F-261,FR,191.6000061,227.28000641,F,,,44.5293216877105,2.26410159456083
F-20,FR,162.22000122,573.15000916,F,,,49.844912903511,1.77754253801194
F-260,FR,208.16999817,233.17499542,F,,,44.6083906088347,2.58312295593911
F-259,FR,326.82000732,234.29251099,F,,,44.5464006127872,4.85191002167918
F-19,FR,111.33999634,576.08248901,F,,,49.941725065824,0.69334081702762
F-258,FR,395.89001465,236.8125,F,,,44.5383617998524,6.17664808098013
F-257,FR,295.26000977,238.79999542,F,,,44.6358281427794,4.25341046817093
F-18,FR,303.98999023,577.28251648,F,,,49.7633832276588,4.80223968825284
F-256,FR,330.98001099,238.99500275,F,,,44.6148154198701,4.93755758744904
F-255,FR,215.25,245.60250092,F,,,44.7932989707755,2.72532043103649
F-17lonn,FR,288.02999878,578.96250916,F,,,49.8051919034787,4.46355010668479
F-254,FR,246.13999939,246.80250549,F,,,44.7906282003152,3.31899943238459
F-253,FR,111.69999695,247.51499176,F,,,44.8928863297155,0.737999124043458
F-16,FR,182.47000122,586.14001465,F,,,50.0229560164843,2.21338261102998
F-252,FR,149.32000732,251.16751099,F,,,44.9232863347011,1.46085954045768
F-251,FR,382.86999512,252.75750732,F,,,44.7875889997115,5.95362648821886
F-15,FR,137.82000732,586.6875,F,,,50.0773703296142,1.25852160194856
F-250,FR,332.6000061,253.22250366,F,,,44.8290803812768,4.98724473053521
F-249,FR,329.76000977,256.13999176,F,,,44.8751968130562,4.93638090760844
F-14,FR,265.25,587.99249268,F,,,49.9658106278508,3.98535442748792
F-248,FR,234.5,256.72499084,F,,,44.9497320821479,3.10228171174608
F-247,FR,54.66999817,257.0625,F,,,45.0789250610761,-0.36168622282079
F-13,FR,148.94000244,590.17501831,F,,,50.1193551468115,1.4968198867806
F-246,FR,188.16999817,257.97750092,F,,,45.0008209236656,2.21037050842316
F-245,FR,115.77999878,260.32500458,F,,,45.0868851738629,0.815239184487934
F-12choo,FR,302,598.5,F,50.0874666667,4.79171111111,50.0872431014527,4.7834484389052
F-244,FR,265.6499939,261.17250824,F,,,44.9958825891076,3.70619450354297
F-243,FR,366.88000488,261.59999084,F,,,44.9320767361496,5.6596013085178
F-11,FR,200.72000122,599.01750183,F,,,50.2008239525242,2.60962398554169
F-242,FR,63.84000015,264.90749359,F,,,45.1935273449964,-0.188342334723092
F-241,FR,390.27999878,265.08750916,F,,,44.968404937059,6.11693094574921
F-10,FR,259.10998535,604.91249084,F,,,50.2295448117173,3.86815175860037
F-240,FR,32.15000153,266.79000092,F,,,45.244725143966,-0.801591189673334
F-239,FR,230.80000305,267.62248993,F,,,45.1183801321999,3.03815830942068
F-9,FR,209.75999451,609.9375,F,,,50.358064522881,2.80938269097501
F-238,FR,45.43000031,269.99249268,F,,,45.2848569587063,-0.546664920012325
F-237,FR,149.8500061,271.76998901,F,,,45.2386690650472,1.47379947859513
F-8,FR,232.53999329,610.70251465,F,,,50.3456844879738,3.30056573368648
F-151,FR,115.09999847,412.90498352,F,,,47.4312254767471,0.788297434101572
F-236,FR,370,272.63999176,F,,,45.0965873446735,5.73694463826343
F-235,FR,291.70999146,273.5625,F,,,45.1658586787266,4.2218882656407
F-7,FR,156.16999817,619.98001099,F,,,50.5684575660134,1.65682355938603
F-234,FR,187.19999695,274.67999268,F,,,45.2568204268577,2.1979321503425
F-233,FR,389.30999756,275.21999359,F,,,45.1218556772786,6.11519636751462
F-6Aveli,FR,219.32000732,622.82249451,F,50.5253277778,3.08221666667,50.5445193475017,3.0227951629178
F-232,FR,425.54000854,280.08000183,F,,,45.1692771911363,6.82665482351421
F-231,FR,326.6499939,281.88750458,F,,,45.2672206985049,4.90928569555201
F-5,FR,193.16000366,628.76998901,F,,,50.6633561230712,2.45959947350174
F-230,FR,381.01998901,282.08248901,F,,,45.231259045564,5.96567680105037
F-229,FR,303.45001221,285.20249176,F,,,45.3340977362082,4.46237940274899
F-4,FR,201.32000732,632.39250183,F,,,50.7099101010541,2.63804024915326
F-228,FR,404.82000732,285,F,,,45.2581668766737,6.43318179147537
F-227,FR,195.16000366,285.54750824,F,,,45.4172253657909,2.35680265491292
F-3,FR,154.42999268,647.49000549,F,,,50.991788190134,1.62371684583473
F-226,FR,319.02999878,285.62999725,F,,,45.3293732134328,4.7658592941741
F-225,FR,362.07000732,287.09250641,F,,,45.3205024789523,5.60509766099122
F-2,FR,174.88000488,648.80250549,F,,,50.9894936245499,2.06954276250696
F-224,FR,44.88999939,295.99500275,F,,,45.6865668756151,-0.571243586209683
F-223,FR,387.29000854,296.96250916,F,,,45.4511575380745,6.11224616068079
F-1,FR,187.97000122,656.28749084,F,,,51.0895697297859,2.35761719133128
F-221/22,FR,82.13999939,298.18498993,F,,,45.693085666011,0.155019918017258
F-220,FR,240.3500061,298.63499451,F,,,45.5840662227657,3.24501914002464
F-219,FR,410.35998535,299.49000549,F,,,45.4723436529094,6.56718093345478
F-218,FR,414.55999756,300.91500092,F,,,45.4907101148495,6.65186123266852
F-217,FR,432,302.49748993,F,,,45.5016778321931,6.99584437087338
F-216,FR,363.44000244,303.08248901,F,,,45.5610337896433,5.6559161474539
F-215,FR,331.27999878,304.86000824,F,,,45.6116586084049,5.02916622675951
F-214,FR,173.55000305,305.84999084,F,,,45.7434190109496,1.94235686772492
F-213,FR,227.00999451,308.96999359,F,,,45.7514068296436,2.9909868043735
F-212,FR,425.07000732,310.40249634,F,,,45.6256801255524,6.87540323088049
F-211,FR,404.22000122,312.26250458,F,,,45.6692303291007,6.46988121431945
F-210,FR,347.26000977,315.08999634,F,,,45.7545334633368,5.35631778373567
F-209,FR,122.59999847,316.38750458,F,,,45.9429304768825,0.944392343305731
F-208,FR,191.67999268,316.48500824,F,,,45.8925237884238,2.3016018540947
F-207,FR,30.54999924,318.75750732,F,,,46.048698095224,-0.865561937685023
F-206,FR,346.79998779,319.84499359,F,,,45.8267817227089,5.35395867981136
F-205,FR,146.52999878,320.33248901,F,,,45.9854256900022,1.41497182296542
F-204,FR,315.8500061,326.04000092,F,,,45.944021043149,4.75267373204727
F-203,FR,176.05000305,326.42250824,F,,,46.0562958913169,1.99752552175951
F-202,FR,386.45999146,326.58750916,F,,,45.8985257543767,6.14520709165092
F-201,FR,163.02000427,326.69249725,F,,,46.070354227765,1.74074917175351
F-200,FR,278.45001221,326.78249359,F,,,45.9837721274114,4.01628674960657
F-199,FR,287.45001221,327.10501099,F,,,45.981810746203,4.19403662731206
F-198,FR,420.45001221,328.99500275,F,,,45.9088530873428,6.81974632038837
F-197,FR,17.79999924,332.0625,F,,,46.2640342374415,-1.12580318656361
F-196,FR,47.40000153,333.75,F,,,46.2673575240784,-0.542168266719926
F-195,FR,370.82998657,335.72250366,F,,,46.0483416201129,5.85134518697177
F-194,FR,409.57000732,340.99500275,F,,,46.0978482416304,6.62681221415357
F-193,FR,241.13999939,341.75999451,F,,,46.2403261758212,3.29159748600553
F_Cornie,FR,397,342,F,46.0840277778,6.29655,46.1227568114865,6.37959854904072
F-190/19,FR,53.08000183,343.14749908,F,,,46.4079522426249,-0.434551625508755
F-189,FR,350.70001221,345.15749359,F,,,46.2065017278631,5.46683590673808
F-188,FR,218.55999756,345.39749908,F,,,46.3133709171484,2.84638523125438
F-187,FR,316.77999878,345.57000732,F,,,46.239245678217,4.79463639712643
F-186,FR,206.42999268,345.71999359,F,,,46.3277716016447,2.6059660073601
F-185,FR,114.70999908,346.43250275,F,,,46.4104085417777,0.786584095923534
F_BoisTo,FR,377.32998657,347.65500641,F,,,46.2233898562879,5.99895684774602
F-183,FR,161.69000244,351.99000549,F,,,46.4587566026042,1.71983998452428
F-182,FR,404.3500061,355.95748901,F,,,46.3272681678422,6.54998695963579
F-181,FR,360.52999878,357.17250824,F,,,46.3803397101622,5.67971331070988
F-180,FR,98.12999725,360.59250641,F,,,46.6411490790036,0.454801515263354
F-179,FR,245.86000061,361.09499359,F,,,46.531053998228,3.3996545794362
F-178,FR,0.01,362.29499817,F,,,46.7457100565111,-1.50229143188971
F-177,FR,283.47000122,365.28749084,F,,,46.5647302633878,4.15357149201325
F-176,FR,315.42001343,367.04251099,F,,,46.5657054178893,4.79345779710224
F-175,FR,70.05999756,371.4375,F,,,46.8306239061016,-0.108807824448967
F-174,FR,302.51000977,372.33750916,F,,,46.6563932231457,4.54152579855963
F-173,FR,166.25,373.34999084,F,,,46.7821543122879,1.81558517485376
F-172,FR,7.0999999,374.08499908,F,,,46.9224782354616,-1.37018044371419
F-171,FR,357.92999268,376.62751007,F,,,46.6763697861396,5.65665515608093
F-152,FR,256.73001099,412.3125,F,,,47.3016539069567,3.65848824751764
F-170,FR,107.72000122,377.18250275,F,,,46.888480789502,0.643651128961738
F-169,FR,326.02999878,377.96999359,F,,,46.7226543489076,5.01924725350927
F-168,FR,374.82998657,383.86500549,F,,,46.7718518489724,6.00671252403174
F-167,FR,302.26000977,385.96499634,F,,,46.8632938511123,4.5517388053524
F-166,FR,244.21000671,387.78749084,F,,,46.9388397850456,3.38657040923933
F-165,FR,196.16000366,392.49000549,F,,,47.0503338639398,2.42246813255759
F-164,FR,27.97999954,392.78997803,F,,,47.1945699469087,-0.964399873412443
F-163,FR,392,395.25,F,,,46.9293796070035,6.37081377658364
F-162,FR,10.78999996,394.04251099,F,,,47.2282203533915,-1.31154754182841
F-161,FR,159.80000305,397.62748718,F,,,47.159197155931,1.69129550450093
F-88,FR,-42.93999863,491.07751465,F,,,48.7793984483493,-2.50175806997541
F-124,FR,297.26000977,450.16497803,F,,,47.8415121571774,4.52087092630838
F-150,FR,324.76000977,413.33999634,F,,,47.259348648216,5.03841481789885
F-149,FR,307.23001099,416.07000732,F,,,47.3156723438213,4.68618812457061
F-125,FR,258.23001099,450.13499451,F,,,47.8757848094018,3.72037315528303
F-127,FR,271.51998901,448.86749268,F,,,47.844694328225,3.99177313612576
F-148,FR,376.54998779,417.48751831,F,,,47.2778306170436,6.0949015994135
F_Sieren,FR,440,447,F,47.646775,7.47257222222,47.6669483177106,7.44200409459837
